carat,cut,color,clarity,depth,table,price,x,y,z
2.21,Ideal,I,SI1,61.6,57,18062,8.38,8.43,5.18
2,Ideal,H,SI1,61.8,57,18062,8.1,8.15,5.02
2.04,Premium,F,SI2,60.2,58,18066,8.17,8.24,4.94
2.19,Very Good,E,SI2,62.4,61,18067,8.23,8.31,5.16
2.29,Very Good,I,SI1,61.8,59,18068,8.44,8.51,5.24
2,Good,F,SI1,62.8,62,18069,8,8.03,5.03
2.11,Very Good,F,SI2,63.5,55,18071,8.08,8.13,5.15
2.01,Good,G,SI1,60.8,61,18077,7.99,8.09,4.89
2.01,Very Good,G,SI1,59.1,57,18077,8.16,8.23,4.84
2.01,Premium,G,SI1,61.8,60,18077,7.99,8.04,4.95
2.02,Ideal,G,VS2,61.7,53,18077,8.14,8.04,4.99
2.32,Ideal,H,SI1,62.6,57,18080,8.46,8.52,5.32
2.51,Very Good,I,SI2,62.3,57,18090,8.69,8.76,5.44
1.51,Premium,F,IF,60.5,61,18102,7.5,7.4,4.45
2.04,Premium,H,VS1,60.7,61,18104,8.18,8.1,4.94
1.7,Very Good,G,VS2,61.9,55,18107,7.64,7.68,4.74
1.7,Very Good,E,VS2,58.6,60,18107,7.91,7.82,4.61
2.3,Ideal,H,SI2,62.6,54,18108,8.42,8.46,5.28
1.14,Very Good,D,IF,59.1,58,18112,6.83,6.9,4.06
2.45,Ideal,J,VS2,60.4,56,18113,8.72,8.81,5.3
1.07,Very Good,D,IF,60.9,58,18114,6.57,6.67,4.03
2.03,Very Good,E,SI2,58.8,59,18115,8.23,8.28,4.85
2.04,Premium,H,SI1,62.5,61,18115,8.08,8.04,5.04
2.04,Premium,H,SI1,63,58,18115,8.1,8.03,5.08
2.02,Premium,E,SI2,61,59,18117,8.18,8.12,4.97
2.12,Very Good,H,SI1,60.7,55,18118,8.28,8.36,5.05
2.33,Very Good,I,SI1,60.7,56,18119,8.55,8.61,5.21
2.03,Very Good,D,SI2,62.4,59,18120,7.98,8.04,5
2.12,Premium,E,SI2,58.3,59,18120,8.48,8.41,4.92
2.1,Ideal,F,SI2,61,60,18124,8.22,8.2,5.01
2.08,Ideal,G,SI2,61.8,56,18124,8.22,8.18,5.07
2.14,Very Good,E,SI2,61.5,58,18125,8.24,8.31,5.09
2.04,Very Good,I,VS1,61.8,60,18127,8.11,8.21,5.04
2.08,Very Good,E,SI2,62.4,60,18128,8.13,8.15,5.08
1.78,Ideal,F,VS2,60.9,56,18128,7.85,7.88,4.79
2.21,Ideal,G,SI2,60.2,60,18128,8.38,8.47,5.07
2.08,Ideal,E,SI2,60.2,60,18128,8.28,8.32,5
2.03,Premium,H,VS2,62.6,59,18139,8.1,8.06,5.06
2.03,Premium,H,VS2,62.1,56,18139,8.2,8.12,5.07
2.23,Premium,I,VS2,61.2,58,18149,8.43,8.36,5.14
2.01,Very Good,H,SI1,59.1,58,18149,8.29,8.36,4.92
2.05,Very Good,H,VS2,61.8,60,18152,8.14,8.19,5.05
2.04,Ideal,G,SI1,61.9,58,18153,8.12,8.16,5.04
1.5,Ideal,F,VVS2,63.1,57,18159,7.32,7.23,4.59
2.12,Premium,G,SI2,62.6,59,18164,8.18,8.12,5.1
2.03,Premium,G,VS2,60.9,59,18166,8.17,8.14,4.97
2.2,Ideal,G,SI2,62,57,18168,8.31,8.27,5.14
2,Ideal,F,SI2,62.6,57,18172,8.08,8.01,5.04
2.01,Ideal,G,VS2,63,56,18172,8,7.93,5.02
1.7,Very Good,E,VS2,58.6,62,18176,7.84,7.92,4.62
1.76,Ideal,G,VS1,62.8,55,18178,7.74,7.7,4.85
1.63,Ideal,F,VS1,61.6,57,18179,7.53,7.61,4.66
2.52,Premium,F,SI2,60.6,60,18179,8.78,8.7,5.3
2.05,Ideal,G,SI2,61.6,56,18181,8.16,8.11,5.01
2.01,Ideal,F,SI2,61.6,55,18183,8.08,8.02,4.97
2,Very Good,G,SI1,62.5,58,18186,7.98,8.04,5.01
2.01,Ideal,H,SI1,62.8,54,18186,8.03,8.08,5.05
2.01,Premium,H,SI1,61.7,60,18188,8.06,7.96,4.94
1.55,Ideal,E,VVS2,62.5,55,18188,7.38,7.4,4.62
2.3,Ideal,I,VS2,62.6,56,18190,8.45,8.4,5.27
2.07,Premium,I,VS2,61.2,58,18193,8.18,8.2,5.01
2.05,Ideal,E,SI1,62.4,57,18193,8.17,8.09,5.08
2.2,Premium,G,SI1,60.5,55,18193,8.49,8.42,5.11
2.07,Ideal,H,SI2,63.5,53,18198,8.12,8.09,5.14
2.01,Premium,I,VS1,62.9,59,18206,8.03,7.94,5.02
2.02,Premium,H,VS2,60.8,62,18207,8.17,8.12,4.95
2.02,Premium,H,VS2,62.7,53,18207,8.02,7.95,0
1.73,Very Good,G,VVS2,62.6,55,18211,7.66,7.76,4.83
2.09,Very Good,I,VS1,62.9,57,18215,8.09,8.13,5.1
2.04,Premium,F,SI2,60.2,58,18231,8.24,8.17,4.94
1.09,Very Good,D,IF,61.7,58,18231,6.55,6.65,4.07
2.19,Premium,E,SI2,62.4,61,18232,8.31,8.23,5.16
2.02,Very Good,H,SI1,59.3,60,18236,8.14,8.21,4.85
2.02,Very Good,H,SI1,59.6,59,18236,8.27,8.35,4.95
2.02,Very Good,H,SI1,61.1,58,18236,8.07,8.16,4.96
2.02,Good,E,SI2,58.8,61,18236,8.21,8.25,4.84
2.3,Premium,I,VS2,61.8,60,18239,8.47,8.39,5.21
3.01,Premium,I,SI2,60.2,59,18242,9.36,9.31,5.62
3.01,Fair,I,SI2,65.8,56,18242,8.99,8.94,5.9
3.01,Fair,I,SI2,65.8,56,18242,8.99,8.94,5.9
3.01,Good,I,SI2,63.9,60,18242,9.06,9.01,5.77
3.01,Good,I,SI2,63.9,60,18242,9.06,9.01,5.77
1.7,Premium,F,VS2,62.8,58,18251,7.61,7.54,4.76
2.01,Ideal,H,SI1,62.2,56,18252,8.03,8.05,5
2.52,Premium,I,SI1,58.5,59,18252,8.9,8.87,5.2
2.53,Premium,H,SI1,62.1,59,18254,8.83,8.73,5.45
2.51,Premium,I,SI2,62.3,57,18255,8.76,8.69,5.44
2.03,Very Good,G,SI1,61.3,59,18257,8.08,8.11,4.96
2.01,Ideal,G,SI2,61.7,57,18259,8.13,8.1,5.01
2.02,Premium,F,SI2,61.3,59,18274,8.15,8.11,4.98
2.13,Ideal,H,SI1,62.2,55,18275,8.2,8.27,5.12
2.21,Ideal,G,SI2,61.9,55,18276,8.4,8.36,5.19
1.7,Ideal,G,VVS1,61,56,18279,7.62,7.67,4.66
1.07,Premium,D,IF,60.9,58,18279,6.67,6.57,4.03
2.08,Very Good,I,VS2,58.9,61,18281,8.35,8.36,4.92
1.62,Ideal,F,VS2,61.2,57,18281,7.52,7.58,4.62
2.03,Premium,D,SI2,62.4,59,18286,8.04,7.98,5
2.14,Premium,E,SI2,61.5,58,18291,8.31,8.24,5.09
2.06,Ideal,G,SI2,62.3,56,18293,8.16,8.09,5.06
1.54,Ideal,G,VVS1,61.4,56,18294,7.42,7.47,4.57
2.01,Ideal,H,SI1,62.1,55,18295,8.12,8.07,5.03
2.01,Premium,H,SI1,61.4,56,18295,8.19,8.13,5.01
2.02,Ideal,G,SI2,62,55,18296,8.16,8.1,5.04
2.24,Ideal,I,SI1,60.5,59,18299,8.45,8.5,5.13
2.3,Ideal,H,SI2,61.6,56,18304,8.48,8.52,5.24
1.93,Ideal,F,SI1,59.5,60,18306,8.1,8.13,4.83
2.51,Fair,H,SI2,64.7,57,18308,8.44,8.5,5.48
2.03,Premium,E,SI2,61.5,59,18310,8.16,8.24,5.04
2.1,Ideal,G,SI2,61.3,55,18312,8.19,8.25,5.04
2.05,Premium,H,VS2,61.8,60,18318,8.19,8.14,5.05
1.61,Ideal,D,VS2,62,55,18318,7.51,7.5,4.67
2.02,Premium,F,SI2,61.7,58,18320,8.11,8.15,5.02
2.02,Ideal,I,VS1,62.1,56,18324,8.13,8.09,5.04
2.5,Good,J,VS2,62,58,18325,8.63,8.6,5.34
2.49,Premium,I,SI2,61.2,56,18325,8.76,8.7,5.34
2.01,Good,H,VS1,57.6,63,18340,8.23,8.25,4.75
2.16,Ideal,I,VS1,62.7,56,18342,8.28,8.2,5.17
1.7,Premium,E,VS2,58.6,62,18342,7.92,7.84,4.62
2.27,Ideal,G,SI1,61.1,60,18343,8.46,8.42,5.16
2.07,Ideal,F,SI2,61.5,55,18344,8.23,8.28,5.08
1.83,Very Good,G,VS2,60.5,59,18358,7.89,7.99,4.8
2.07,Premium,I,VS2,61.2,58,18359,8.2,8.18,5.01
2.22,Ideal,I,VS2,61.3,56,18363,8.36,8.45,5.15
2.2,Premium,I,VS2,62,57,18364,8.38,8.34,5.18
2.6,Ideal,J,SI2,62.5,56,18369,8.81,8.76,5.49
2.06,Ideal,D,SI2,60.3,56,18371,8.29,8.25,4.99
2.32,Very Good,I,SI1,63.2,59,18371,8.55,8.44,5.37
2,Premium,H,SI1,63,56,18371,7.98,7.93,5.01
2,Premium,H,SI1,58.2,60,18371,8.34,8.26,4.83
2.4,Ideal,H,SI2,62,55,18374,8.57,8.6,5.32
2.01,Good,G,SI1,60.1,61,18374,8.04,8.12,4.86
2,Good,F,SI1,63,61,18376,7.85,7.99,4.99
1.73,Premium,G,VVS2,62.6,55,18377,7.76,7.66,4.83
2.09,Very Good,H,SI1,61.1,56,18392,8.23,8.3,5.05
2.01,Ideal,F,SI2,61.7,56,18394,8.12,8.16,5.02
2.01,Ideal,F,SI2,61.9,55,18395,8.1,8.05,5
2.02,Very Good,H,VS2,62.7,58,18398,7.96,8.01,5.01
2.01,Very Good,G,SI1,62.1,60,18398,7.94,8.03,4.96
1.7,Premium,F,VS1,58.5,60,18398,7.83,7.76,4.56
2.08,Very Good,D,SI2,60.1,59,18405,8.29,8.37,5.01
2.11,Very Good,D,SI2,60.9,60,18407,8.21,8.28,5.02
1.54,Ideal,F,VS1,60.3,57,18416,7.49,7.56,4.54
1.79,Premium,G,VS1,61.7,59,18419,7.85,7.74,4.81
1.6,Ideal,F,VS2,62,55,18421,7.49,7.54,4.66
2.03,Premium,G,SI1,61.3,59,18423,8.11,8.08,4.96
2.26,Premium,H,SI1,60.3,58,18426,8.56,8.51,5.15
2.29,Premium,J,IF,61.4,60,18426,8.45,8.49,5.2
2,Premium,E,SI2,61.8,56,18426,8.12,8.05,5
1.79,Very Good,F,VS2,62.8,59,18429,7.7,7.8,4.87
2.44,Very Good,J,VS2,58.1,60,18430,8.89,8.93,5.18
1.74,Very Good,F,VS2,62,57,18430,7.65,7.7,4.76
1.7,Premium,F,VS1,60.6,58,18430,7.68,7.71,4.66
1.72,Ideal,G,VVS2,62,57,18431,7.63,7.72,4.76
2.22,Premium,I,SI1,59.9,59,18432,8.46,8.41,5.05
1.33,Ideal,F,IF,60.2,57,18435,7.12,7.17,4.3
2.06,Premium,G,SI1,61.5,58,18439,8.2,8.15,5.03
2,Ideal,H,SI1,62.8,52,18440,8.05,8.1,5.06
2,Ideal,H,SI1,63.9,54,18440,7.92,8,5.1
2.13,Ideal,H,SI1,62.2,55,18442,8.27,8.2,5.12
2.09,Premium,H,VS2,62.2,58,18443,8.17,8.12,5.06
1.7,Ideal,G,VVS1,61,56,18445,7.67,7.62,4.66
2.5,Premium,I,SI2,59,60,18447,8.76,8.89,5.21
2.08,Premium,I,VS2,58.9,61,18447,8.36,8.35,4.92
2.03,Ideal,F,SI2,63.3,55,18458,7.96,8.05,5.08
2.1,Ideal,H,SI2,63.1,55,18462,8.17,8.13,5.14
2.16,Ideal,J,VS1,61.4,55,18462,8.34,8.27,5.1
2.04,Good,D,SI1,61.9,60,18468,8.15,8.11,5.03
2.15,Ideal,H,SI1,61.5,60,18470,8.17,8.29,5.06
2.09,Good,F,SI2,63.4,55,18472,8.11,8.18,5.16
2.01,Good,H,VS2,64.1,59,18474,7.91,7.85,5.05
2.19,Ideal,H,SI1,60.6,57,18475,8.39,8.35,5.07
2.03,Premium,E,SI2,61.5,59,18477,8.24,8.16,5.04
2.1,Very Good,H,SI1,62.9,57,18480,8.12,8.19,5.13
2.16,Premium,I,VS2,58.7,60,18481,8.54,8.5,5
2.21,Very Good,F,SI2,61,58,18483,8.36,8.43,5.12
2.57,Premium,J,SI1,63,58,18485,8.77,8.65,5.49
2.02,Premium,F,SI2,61.7,58,18487,8.15,8.11,5.02
2.07,Very Good,H,SI1,59.5,59,18489,8.27,8.3,4.92
2,Premium,F,SI1,62.6,59,18493,8.1,8.04,5.05
2.66,Good,H,SI2,64.3,60,18495,8.71,8.65,5.58
2.01,Very Good,I,VS1,63,59,18500,7.87,7.94,4.98
2.01,Very Good,H,VS2,63.2,58,18507,7.93,8.01,5.04
2.03,Very Good,G,SI1,61.7,54,18507,8.07,8.19,5.02
2.32,Very Good,H,SI2,60.6,58,18508,8.56,8.6,5.2
2.37,Ideal,J,SI1,61.9,55,18508,8.53,8.56,5.29
2.09,Very Good,F,SI2,61.3,59,18509,8.19,8.33,5.06
2,Fair,G,VS2,67.6,58,18515,7.65,7.61,5.16
2.38,Premium,H,VS1,60.9,59,18522,8.62,8.59,5.24
2,Very Good,G,SI1,61.8,61,18524,8,8.09,4.97
1.83,Premium,G,VS2,60.5,59,18525,7.99,7.89,4.8
2.14,Very Good,D,SI2,60.3,60,18526,8.31,8.43,5.05
2.14,Ideal,H,SI1,61.5,57,18528,8.36,8.29,5.12
2.22,Ideal,I,VS2,61.3,56,18531,8.45,8.36,5.15
4.5,Fair,J,I1,65.8,58,18531,10.23,10.16,6.72
2.32,Ideal,G,SI2,61,58,18532,8.5,8.54,5.2
2.03,Ideal,F,SI2,61.4,58,18535,8.12,8.16,5
2.4,Good,I,SI1,56.9,62,18541,8.87,8.81,5.03
2.4,Ideal,H,SI2,62,55,18541,8.6,8.57,5.32
1.04,Very Good,D,IF,61.3,56,18542,6.53,6.55,4.01
1.5,Very Good,F,IF,63.2,58,18552,7.2,7.32,4.59
1.72,Very Good,E,VS2,63.4,56,18557,7.65,7.55,4.82
3.04,Premium,I,SI2,59.3,60,18559,9.51,9.46,5.62
2.38,Premium,J,VS2,62.1,58,18559,8.54,8.49,5.29
2.09,Premium,H,SI1,61.1,56,18559,8.3,8.23,5.05
2.01,Good,H,VS2,57.8,60,18561,8.29,8.35,4.81
2.01,Very Good,H,VS2,60.7,56,18561,8.08,8.17,4.93
2.02,Fair,H,VS2,64.5,57,18565,8,7.95,5.14
1.6,Ideal,F,VS1,60.5,57,18571,7.6,7.63,4.61
2.01,Good,G,SI1,63.1,59,18572,7.98,8.03,5.05
2.01,Fair,G,SI1,70.6,64,18574,7.43,6.64,4.69
2.11,Premium,D,SI2,60.9,60,18575,8.28,8.21,5.02
2.03,Ideal,F,SI2,61.6,55,18578,8.19,8.14,5.03