2.48,Very Good,I,SI2,63,62,17448,8.58,8.62,5.42
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61
1.5,Good,E,VVS2,64.3,58,17449,7.2,7.13,4.61